topicGroup,topicGroup_title,topicGroup_desc,topic,topic_title,topic_desc,topic_tags,topic_allowRandom,topic_allowPlayer,item,item_title,item_body,item_orderIndex,tag,tag_title,tag_desc
aron1,Вопросы Арона,Вопросы чтобы лучше узнать друг друга,,,,,,,,,,,,,
,,,aron_classic,Классическая процедура Арона,36 вопросов,"Личное, Психология",0,1,,,,,,,
,,,,,,,,,q1,Вопрос 1,"Если бы ты мог пригласить кого-нибудь на ужин (близкого человека, умершего родственника, знаменитость), кого бы ты выбрал?",1,,,
,,,,,,,,,q2,Вопрос 2,Хотел бы ты быть знаменитым? В чем?,2,,,
,,,,,,,,,q3,Вопрос 3,"Прежде чем сделать звонок, ты репетируешь свою реплику? Почему?",3,,,
,,,,,,,,,q4,Вопрос 4,Каким был бы для тебя «идеальный день»?,4,,,
,,,,,,,,,q5,Вопрос 5,Когда ты в последний раз пел в одиночестве? А для кого-нибудь другого?,5,,,
,,,,,,,,,q6,Вопрос 6,"Если бы ты могли прожить до 90 лет и в последние 60 лет сохранить либо разум, либо тело 30-летнего, что бы ты выбрал?",6,,,
,,,,,,,,,q7,Вопрос 7,"У тебя есть тайное предчувствие того, как ты умрешь?",7,,,
,,,,,,,,,q8,Вопрос 8,"Назови три черты, которые, по-твоему, есть и у тебя, и у твоего партнера.",8,,,
,,,,,,,,,q9,Вопрос 9,За что ты испытываешь наибольшую благодарность?,9,,,
,,,,,,,,,q10,Вопрос 10,"Если бы ты мог, что бы ты изменил в том, как тебя воспитывали?",10,,,
,,,,,,,,,q11,Вопрос 11,"За 4 минуты расскажи партнеру историю твоей жизни настолько подробно, насколько это возможно.",11,,,
,,,,,,,,,q12,Вопрос 12,"Если бы ты мог проснуться завтра, обладая каким-то умением или способностью, что бы это было?",12,,,
,,,,,,,,,q13,Вопрос 13,"Если бы магический кристалл мог открыть тебе правду, о чем бы ты хотел узнать?",13,,,
,,,,,,,,,q14,Вопрос 14,"Есть ли что-то, что ты уже давно мечтаешь сделать? Почему ты еще не сделал этого?",14,,,
,,,,,,,,,q15,Вопрос 15,Самое большое достижение в твоей жизни?,15,,,
,,,,,,,,,q16,Вопрос 16,Что в дружбе для тебя наиболее ценно?,16,,,
,,,,,,,,,q17,Вопрос 17,Какое твое самое дорогое воспоминание?,17,,,
,,,,,,,,,q18,Вопрос 18,А самое ужасное воспоминание?,18,,,
